linkID,n small gaps,n medium gaps,n large gaps,n huge gaps,CircuitsToSum1,CircuitsToSum2,startDT1,stopDT1,startDT2,stopDT2,Glength_1,startDT3,stopDT3,Glength_2,startDT4,stopDT4,Glength_3,startDT5,stopDT5,Glength_4,startDT6,stopDT6,Glength_5,startDT7,stopDT7,Glength_6,startDT8,stopDT8,Glength_7,startDT9,stopDT9,Glength_8,startDT10,stopDT10,Glength_9,startDT11,stopDT11,Glength_10,startDT12,stopDT12,Glength_11,startDT13,stopDT13,Glength_12,startDT14,stopDT14,Glength_13,startDT15,stopDT15,Glength_14,startDT16,stopDT16,Glength_15,startDT17,stopDT17,Glength_16,startDT18,stopDT18,Glength_17,startDT19,stopDT19,Glength_18,startDT20,stopDT20,Glength_19,startDT21,stopDT21,Glength_20,startDT22,stopDT22,Glength_21,startDT23,stopDT23,Glength_22,startDT24,stopDT24,Glength_23,startDT25,stopDT25,Glength_24,startDT26,stopDT26,Glength_25,startDT27,stopDT27,Glength_26,startDT28,stopDT28,Glength_27,startDT29,stopDT29,Glength_28,startDT30,stopDT30,Glength_29,startDT31,stopDT31,Glength_30,startDT32,stopDT32,Glength_31
rf_29,13,1,1,0,Incomer - Uncontrolled$4181,Hot Water - Controlled$4184,25/03/2015 20:30,04/04/2015 12:30,04/04/2015 14:00,05/04/2015 10:30,0 days 01:30:00,05/04/2015 12:00,26/09/2015 13:30,0 days 01:30:00,26/09/2015 15:00,03/04/2016 10:30,0 days 01:30:00,03/04/2016 12:00,05/08/2016 15:00,0 days 01:30:00,05/08/2016 17:00,05/08/2016 22:00,0 days 02:00:00,05/08/2016 23:30,24/09/2016 13:30,0 days 01:30:00,24/09/2016 15:00,02/04/2017 10:30,0 days 01:30:00,02/04/2017 12:00,13/04/2017 10:00,0 days 01:30:00,13/04/2017 13:30,23/09/2017 13:30,0 days 03:30:00,23/09/2017 15:00,10/10/2017 20:30,0 days 01:30:00,10/10/2017 21:30,10/11/2017 21:30,0 days 01:00:00,10/11/2017 23:30,01/04/2018 10:30,0 days 02:00:00,01/04/2018 12:00,17/05/2018 11:30,0 days 01:30:00,18/05/2018 12:00,04/06/2018 04:00,1 days 00:30:00,11/06/2018 12:00,01/08/2018 11:30,7 days 08:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf_30,6,0,1,1,Incomer - All$4239,,27/03/2015 20:30,05/04/2015 10:30,05/04/2015 12:00,26/09/2015 13:30,0 days 01:30:00,26/09/2015 15:00,28/10/2015 03:30,0 days 01:30:00,09/11/2015 18:30,13/11/2015 03:30,12 days 15:00:00,04/12/2015 20:00,03/04/2016 10:30,21 days 16:30:00,03/04/2016 12:00,05/08/2016 14:30,0 days 01:30:00,05/08/2016 17:30,05/08/2016 22:00,0 days 03:00:00,06/08/2016 00:00,24/09/2016 13:30,0 days 02:00:00,24/09/2016 15:00,29/09/2016 03:00,0 days 01:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf_31,12,1,0,0,Incomer - All$4199,,26/03/2015 04:30,05/04/2015 10:30,05/04/2015 12:00,26/09/2015 13:30,0 days 01:30:00,26/09/2015 15:00,03/04/2016 10:30,0 days 01:30:00,03/04/2016 12:00,05/08/2016 15:00,0 days 01:30:00,05/08/2016 17:30,05/08/2016 22:00,0 days 02:30:00,06/08/2016 00:30,24/09/2016 13:30,0 days 02:30:00,24/09/2016 15:00,02/04/2017 10:30,0 days 01:30:00,02/04/2017 12:00,13/04/2017 08:00,0 days 01:30:00,13/04/2017 09:30,23/09/2017 13:30,0 days 01:30:00,23/09/2017 15:00,10/11/2017 02:30,0 days 01:30:00,10/11/2017 03:30,26/03/2018 21:30,0 days 01:00:00,26/03/2018 22:30,01/04/2018 10:30,0 days 01:00:00,01/04/2018 12:00,17/05/2018 11:30,0 days 01:30:00,18/05/2018 12:00,01/08/2018 11:30,1 days 00:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf_32,4,0,0,0,Incomer - All$4193,,26/03/2015 03:30,04/04/2015 12:30,04/04/2015 14:00,05/04/2015 10:30,0 days 01:30:00,05/04/2015 12:00,26/09/2015 13:30,0 days 01:30:00,26/09/2015 15:00,03/04/2016 10:30,0 days 01:30:00,03/04/2016 12:00,05/04/2016 05:00,0 days 01:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf_33,13,3,0,1,Incomer - Uncontrolled$4143,Hot Water - Controlled$4144,24/03/2015 00:30,04/04/2015 12:30,04/04/2015 14:00,05/04/2015 10:30,0 days 01:30:00,05/04/2015 12:00,26/09/2015 13:30,0 days 01:30:00,26/09/2015 15:00,03/04/2016 10:30,0 days 01:30:00,03/04/2016 12:00,05/08/2016 14:30,0 days 01:30:00,05/08/2016 17:00,05/08/2016 22:00,0 days 02:30:00,06/08/2016 03:00,24/09/2016 13:30,0 days 05:00:00,24/09/2016 15:00,29/10/2016 06:00,0 days 01:30:00,06/01/2017 09:00,08/01/2017 09:30,69 days 03:00:00,08/01/2017 10:30,09/01/2017 02:30,0 days 01:00:00,09/01/2017 04:00,02/04/2017 10:30,0 days 01:30:00,02/04/2017 12:00,23/09/2017 13:30,0 days 01:30:00,23/09/2017 15:00,01/04/2018 10:30,0 days 01:30:00,01/04/2018 12:00,17/05/2018 11:30,0 days 01:30:00,18/05/2018 12:00,08/06/2018 12:30,1 days 00:30:00,08/06/2018 15:00,08/06/2018 20:00,0 days 02:30:00,09/06/2018 07:30,19/06/2018 19:30,0 days 11:30:00,21/06/2018 10:00,21/06/2018 10:30,1 days 14:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf_34,6,0,0,0,Incomer - All$4225,,27/03/2015 00:30,05/04/2015 10:30,05/04/2015 12:00,26/04/2015 11:00,0 days 01:30:00,26/04/2015 12:30,26/09/2015 13:30,0 days 01:30:00,26/09/2015 15:00,03/04/2016 10:30,0 days 01:30:00,03/04/2016 12:00,05/08/2016 14:30,0 days 01:30:00,05/08/2016 17:00,05/08/2016 22:00,0 days 02:30:00,05/08/2016 23:30,15/08/2016 21:30,0 days 01:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf_36,10,12,5,1,Incomer - All$4148,,24/03/2015 02:30,04/04/2015 12:30,04/04/2015 14:00,05/04/2015 10:30,0 days 01:30:00,05/04/2015 12:00,26/09/2015 13:30,0 days 01:30:00,26/09/2015 15:00,01/02/2016 08:30,0 days 01:30:00,01/02/2016 21:00,09/02/2016 08:30,0 days 12:30:00,09/02/2016 18:00,10/02/2016 07:30,0 days 09:30:00,10/02/2016 18:00,11/02/2016 06:00,0 days 10:30:00,11/02/2016 07:00,11/02/2016 07:00,0 days 01:00:00,11/02/2016 18:30,12/02/2016 21:00,0 days 11:30:00,16/02/2016 03:30,16/02/2016 07:00,3 days 06:30:00,16/02/2016 17:30,18/02/2016 08:00,0 days 10:30:00,18/02/2016 18:00,22/02/2016 07:30,0 days 10:00:00,23/02/2016 02:30,25/03/2016 07:30,0 days 19:00:00,25/03/2016 21:00,02/04/2016 14:30,0 days 13:30:00,09/04/2016 19:00,13/04/2016 04:30,7 days 04:30:00,15/04/2016 03:30,05/08/2016 14:30,1 days 23:00:00,05/08/2016 17:00,05/08/2016 22:00,0 days 02:30:00,06/08/2016 00:30,29/08/2016 00:00,0 days 02:30:00,04/09/2016 20:30,24/09/2016 13:30,6 days 20:30:00,24/09/2016 15:00,12/02/2017 06:00,0 days 01:30:00,13/02/2017 02:30,02/04/2017 10:30,0 days 20:30:00,02/04/2017 12:00,16/08/2017 20:00,0 days 01:30:00,17/08/2017 03:30,23/09/2017 13:30,0 days 07:30:00,23/09/2017 15:00,04/12/2017 07:30,0 days 01:30:00,13/01/2018 22:30,01/04/2018 10:30,40 days 15:00:00,01/04/2018 12:00,15/04/2018 06:30,0 days 01:30:00,25/04/2018 12:00,17/05/2018 11:30,10 days 05:30:00,18/05/2018 12:00,28/06/2018 06:00,1 days 00:30:00,04/07/2018 02:30,04/07/2018 02:30,5 days 20:30:00,,,,,,,,,
rf_37,12,1,0,0,Incomer -Uncontrolled$4136,Hot Water - Controlled$4135,23/03/2015 22:00,04/04/2015 12:30,04/04/2015 14:00,05/04/2015 10:30,0 days 01:30:00,05/04/2015 12:00,26/09/2015 13:30,0 days 01:30:00,26/09/2015 15:00,03/04/2016 10:30,0 days 01:30:00,03/04/2016 12:00,05/08/2016 14:30,0 days 01:30:00,05/08/2016 17:00,05/08/2016 22:00,0 days 02:30:00,06/08/2016 00:30,24/09/2016 13:30,0 days 02:30:00,24/09/2016 15:00,29/03/2017 17:00,0 days 01:30:00,29/03/2017 20:00,29/03/2017 20:00,0 days 03:00:00,29/03/2017 21:00,02/04/2017 10:30,0 days 01:00:00,02/04/2017 12:00,23/09/2017 13:30,0 days 01:30:00,23/09/2017 15:00,01/04/2018 10:30,0 days 01:30:00,01/04/2018 12:00,17/05/2018 11:30,0 days 01:30:00,18/05/2018 12:00,01/08/2018 11:30,1 days 00:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf_39,13,2,1,2,Incomer - Uncontrolled$4248,Hot Water  (2 elements)$4247,27/03/2015 22:00,05/04/2015 10:30,05/04/2015 12:00,28/04/2015 19:30,0 days 01:30:00,20/05/2015 07:00,26/09/2015 13:30,21 days 11:30:00,26/09/2015 15:00,19/03/2016 00:00,0 days 01:30:00,19/03/2016 01:30,03/04/2016 10:30,0 days 01:30:00,03/04/2016 12:00,03/05/2016 22:00,0 days 01:30:00,04/05/2016 05:30,05/08/2016 14:30,0 days 07:30:00,05/08/2016 17:00,05/08/2016 22:00,0 days 02:30:00,06/08/2016 00:30,24/09/2016 13:30,0 days 02:30:00,24/09/2016 15:00,01/10/2016 20:30,0 days 01:30:00,11/10/2016 11:00,02/04/2017 10:30,9 days 14:30:00,02/04/2017 12:00,23/08/2017 21:00,0 days 01:30:00,24/08/2017 01:00,23/09/2017 13:30,0 days 04:00:00,23/09/2017 15:00,19/11/2017 02:30,0 days 01:30:00,20/03/2018 11:00,21/03/2018 06:00,121 days 08:30:00,21/03/2018 07:30,26/03/2018 21:30,0 days 01:30:00,26/03/2018 22:30,01/04/2018 10:30,0 days 01:00:00,01/04/2018 12:00,17/05/2018 11:30,0 days 01:30:00,18/05/2018 12:00,01/08/2018 11:30,1 days 00:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf_41,16,8,4,3,Incomer - All$4192,,28/05/2016 01:00,08/06/2016 23:30,09/06/2016 03:00,05/08/2016 14:30,0 days 03:30:00,05/08/2016 17:00,05/08/2016 22:00,0 days 02:30:00,06/08/2016 00:00,06/08/2016 00:00,0 days 02:00:00,06/08/2016 01:00,24/09/2016 13:30,0 days 01:00:00,24/09/2016 15:00,02/04/2017 10:30,0 days 01:30:00,02/04/2017 12:00,11/05/2017 20:00,0 days 01:30:00,11/05/2017 22:00,23/09/2017 13:30,0 days 02:00:00,23/09/2017 15:00,01/04/2018 10:30,0 days 01:30:00,01/04/2018 12:00,19/04/2018 23:30,0 days 01:30:00,20/04/2018 01:00,25/04/2018 01:00,0 days 01:30:00,26/04/2018 12:00,17/05/2018 11:30,1 days 11:00:00,18/05/2018 12:00,01/08/2018 11:30,1 days 00:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf_42,7,0,2,0,Incomer - All$4132,,23/03/2015 20:30,04/04/2015 12:30,04/04/2015 14:00,05/04/2015 10:30,0 days 01:30:00,05/04/2015 12:00,07/07/2015 06:00,0 days 01:30:00,13/07/2015 04:30,26/09/2015 13:30,5 days 22:30:00,26/09/2015 15:00,03/04/2016 10:30,0 days 01:30:00,03/04/2016 12:00,18/04/2016 23:00,0 days 01:30:00,02/05/2016 10:00,05/08/2016 15:00,13 days 11:00:00,05/08/2016 17:00,06/08/2016 05:00,0 days 02:00:00,06/08/2016 07:30,24/09/2016 13:30,0 days 02:30:00,24/09/2016 15:00,18/02/2017 01:00,0 days 01:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf_44,11,1,0,0,Incomer - Uncontrolled$4156,Hot Water - Controlled$4155,24/03/2015 20:00,05/04/2015 10:30,05/04/2015 12:00,26/09/2015 13:30,0 days 01:30:00,26/09/2015 15:00,03/04/2016 10:30,0 days 01:30:00,03/04/2016 12:00,04/04/2016 04:00,0 days 01:30:00,04/04/2016 05:30,05/08/2016 14:30,0 days 01:30:00,05/08/2016 16:00,05/08/2016 22:00,0 days 01:30:00,05/08/2016 23:30,24/09/2016 13:30,0 days 01:30:00,24/09/2016 15:00,02/04/2017 10:30,0 days 01:30:00,02/04/2017 12:00,23/09/2017 13:30,0 days 01:30:00,23/09/2017 15:00,01/04/2018 10:30,0 days 01:30:00,01/04/2018 12:00,03/04/2018 20:30,0 days 01:30:00,04/04/2018 02:30,17/05/2018 11:30,0 days 06:00:00,18/05/2018 12:00,01/08/2018 11:30,1 days 00:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf_45,8,1,0,0,Incomer - Uncontrolled$4157,Hot Water - Controlled$4158,24/03/2015 21:30,04/04/2015 12:30,04/04/2015 14:00,05/04/2015 10:30,0 days 01:30:00,05/04/2015 12:00,25/05/2015 03:30,0 days 01:30:00,25/05/2015 05:00,25/05/2015 09:00,0 days 01:30:00,25/05/2015 19:30,26/09/2015 13:30,0 days 10:30:00,26/09/2015 15:00,03/04/2016 10:30,0 days 01:30:00,03/04/2016 12:00,05/08/2016 14:30,0 days 01:30:00,05/08/2016 16:00,05/08/2016 22:00,0 days 01:30:00,05/08/2016 23:30,24/09/2016 13:30,0 days 01:30:00,24/09/2016 15:00,15/10/2016 01:00,0 days 01:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf_46,19,0,3,0,Incomer - Uncontrolled$4230,Hot Water - Controlled$4231,27/03/2015 02:00,02/04/2015 21:30,03/04/2015 02:30,04/04/2015 12:30,0 days 05:00:00,04/04/2015 14:00,05/04/2015 10:30,0 days 01:30:00,05/04/2015 12:00,16/04/2015 05:00,0 days 01:30:00,23/04/2015 04:30,24/04/2015 07:00,6 days 23:30:00,05/05/2015 05:30,06/06/2015 00:00,10 days 22:30:00,06/06/2015 01:30,05/07/2015 01:30,0 days 01:30:00,05/07/2015 03:00,22/07/2015 02:00,0 days 01:30:00,22/07/2015 04:00,15/09/2015 01:30,0 days 02:00:00,15/09/2015 02:30,26/09/2015 13:30,0 days 01:00:00,26/09/2015 15:00,26/12/2015 20:00,0 days 01:30:00,05/01/2016 01:30,03/04/2016 10:30,9 days 05:30:00,03/04/2016 12:00,05/08/2016 14:30,0 days 01:30:00,05/08/2016 17:00,05/08/2016 22:00,0 days 02:30:00,06/08/2016 00:00,14/08/2016 16:00,0 days 02:00:00,14/08/2016 17:30,25/08/2016 02:00,0 days 01:30:00,25/08/2016 03:00,24/09/2016 13:30,0 days 01:00:00,24/09/2016 15:00,06/11/2016 01:30,0 days 01:30:00,06/11/2016 02:00,03/01/2017 15:30,0 days 00:30:00,03/01/2017 16:00,14/01/2017 12:00,0 days 00:30:00,14/01/2017 12:30,25/01/2017 21:00,0 days 00:30:00,25/01/2017 21:30,26/06/2017 19:00,0 days 00:30:00,26/06/2017 19:30,19/02/2018 22:00,0 days 00:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf_47,3,1,0,0,Incomer - All$4170,,25/03/2015 02:00,05/04/2015 10:30,05/04/2015 12:00,26/09/2015 13:30,0 days 01:30:00,26/09/2015 15:00,28/10/2015 21:30,0 days 01:30:00,29/10/2015 23:30,03/04/2016 10:30,1 days 02:00:00,03/04/2016 12:00,08/05/2016 02:30,0 days 01:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
